,0,1,speaker,start,end
0,[ 00:00:00.497 -->  00:00:33.370],HG,SPEAKER_01,0.4978125,33.370312500000004
1,[ 00:00:34.534 -->  00:01:01.484],HH,SPEAKER_01,34.534687500000004,61.48406250000001
2,[ 00:01:02.479 -->  00:01:22.425],HI,SPEAKER_01,62.479687500000004,82.4259375
3,[ 00:01:23.050 -->  00:01:32.027],HJ,SPEAKER_01,83.0503125,92.0278125
4,[ 00:01:32.652 -->  00:01:40.465],HK,SPEAKER_01,92.6521875,100.4653125
5,[ 00:01:41.680 -->  00:02:03.955],HL,SPEAKER_01,101.6803125,123.9553125
6,[ 00:02:05.170 -->  00:02:19.851],HM,SPEAKER_01,125.17031250000001,139.8515625
7,[ 00:02:21.218 -->  00:03:16.095],HN,SPEAKER_01,141.2184375,196.0959375
8,[ 00:03:17.192 -->  00:03:51.482],HO,SPEAKER_01,197.1928125,231.48281250000002
9,[ 00:03:52.731 -->  00:04:11.310],HP,SPEAKER_01,232.7315625,251.31093750000002
10,[ 00:04:12.610 -->  00:04:15.732],HQ,SPEAKER_01,252.61031250000002,255.7321875
11,[ 00:04:34.210 -->  00:04:48.554],HR,SPEAKER_01,274.21031250000004,288.55406250000004
12,[ 00:04:49.988 -->  00:06:03.951],A,SPEAKER_00,289.98843750000003,363.9515625
13,[ 00:06:03.951 -->  00:06:26.901],HS,SPEAKER_01,363.9515625,386.9015625
14,[ 00:06:26.496 -->  00:08:49.950],B,SPEAKER_00,386.49656250000004,529.9509375
15,[ 00:08:49.950 -->  00:08:56.329],HT,SPEAKER_01,529.9509375,536.3296875000001
16,[ 00:08:54.996 -->  00:10:35.993],C,SPEAKER_00,534.9965625000001,635.9934375
17,[ 00:10:35.993 -->  00:10:57.745],HU,SPEAKER_01,635.9934375,657.7453125000001
18,[ 00:10:38.828 -->  00:10:38.997],D,SPEAKER_00,638.8284375000001,638.9971875
19,[ 00:10:40.448 -->  00:10:40.752],E,SPEAKER_00,640.4484375000001,640.7521875000001
20,[ 00:10:57.930 -->  00:12:27.435],F,SPEAKER_00,657.9309375,747.4359375
21,[ 00:11:06.064 -->  00:11:07.060],HV,SPEAKER_01,666.0646875000001,667.0603125
22,[ 00:11:30.938 -->  00:11:31.022],HW,SPEAKER_01,690.9384375000001,691.0228125000001
23,[ 00:12:28.769 -->  00:12:28.802],G,SPEAKER_00,748.7690625,748.8028125000001
24,[ 00:12:28.802 -->  00:12:52.512],HX,SPEAKER_01,748.8028125000001,772.5121875000001
25,[ 00:12:52.512 -->  00:13:16.575],H,SPEAKER_00,772.5121875000001,796.5759375
26,[ 00:12:53.288 -->  00:12:53.642],HY,SPEAKER_01,773.2884375000001,773.6428125000001
27,[ 00:13:17.622 -->  00:14:38.942],I,SPEAKER_00,797.6221875000001,878.9428125000001
28,[ 00:14:38.942 -->  00:14:47.565],HZ,SPEAKER_01,878.9428125000001,887.5659375
29,[ 00:14:47.565 -->  00:15:57.462],J,SPEAKER_00,887.5659375,957.4621875
30,[ 00:15:57.462 -->  00:16:35.160],IA,SPEAKER_01,957.4621875,995.1609375
31,[ 00:16:06.389 -->  00:16:06.625],K,SPEAKER_00,966.3890625,966.6253125000001
32,[ 00:16:15.602 -->  00:16:18.454],L,SPEAKER_00,975.6028125,978.4546875000001
33,[ 00:16:35.160 -->  00:18:06.657],M,SPEAKER_00,995.1609375,1086.6571875000004
34,[ 00:18:07.703 -->  00:18:07.872],N,SPEAKER_00,1087.7034375000003,1087.8721875
35,[ 00:18:07.872 -->  00:18:11.415],IB,SPEAKER_01,1087.8721875,1091.4159375000004
36,[ 00:18:12.664 -->  00:18:27.801],IC,SPEAKER_01,1092.6646875000001,1107.8015625000003
